filename,meeting_id,needs_ocr,reason
01032024 minutes.pdf,1,False,Review item 1: weak or fallback extraction.
01032024 minutes.pdf,1,False,Review item 2: weak or fallback extraction.
01032024 minutes.pdf,1,False,Review item 3: weak or fallback extraction.
01032024 minutes.pdf,1,False,Review item 4: weak or fallback extraction.
01032024 minutes.pdf,1,False,Review item 5: weak or fallback extraction.
01032024 minutes.pdf,1,False,Review item 6: weak or fallback extraction.
01032024 minutes.pdf,1,False,Review item 8: weak or fallback extraction.
01032024 minutes.pdf,1,False,Review item 9: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 10: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 11: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 12: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 13: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 15: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 16: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 17: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 18: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 19: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 20: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 21: weak or fallback extraction.
010417 Council Meeting Approved Minutes.pdf,2,False,Review item 22: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 23: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 24: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 25: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 26: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 27: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 28: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 29: weak or fallback extraction.
01042023 minutes.pdf,3,False,Review item 31: weak or fallback extraction.
01052022 minutes.pdf,4,False,Review item 32: weak or fallback extraction.
01052022 minutes.pdf,4,False,Review item 33: weak or fallback extraction.
01052022 minutes.pdf,4,False,Review item 34: weak or fallback extraction.
01052022 minutes.pdf,4,False,Review item 36: weak or fallback extraction.
01052022 minutes.pdf,4,False,Review item 37: weak or fallback extraction.
01052022 minutes.pdf,4,False,Review item 38: weak or fallback extraction.
01052022 minutes.pdf,4,False,Review item 39: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 41: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 42: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 43: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 44: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 45: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 46: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 47: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 48: weak or fallback extraction.
01062016 minutes.pdf,5,False,Review item 49: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 50: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 51: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 52: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 53: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 54: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 55: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 57: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 58: weak or fallback extraction.
01082025 minutes.pdf,6,False,Review item 59: weak or fallback extraction.
01092024 PZDB cancellation.pdf,7,False,Review item 60: weak or fallback extraction.
01112022 PZDB Minutes.pdf,8,False,Review item 61: weak or fallback extraction.
01112022 PZDB Minutes.pdf,8,False,Review item 62: weak or fallback extraction.
01112022 PZDB Minutes.pdf,8,False,Review item 63: weak or fallback extraction.
01112023 PZDB Minutes.pdf,9,False,Review item 66: weak or fallback extraction.
01112023 PZDB Minutes.pdf,9,False,Review item 67: weak or fallback extraction.
01112023 PZDB Minutes.pdf,9,False,Review item 68: weak or fallback extraction.
01132016 minutes.pdf,10,False,Review item 71: weak or fallback extraction.
01132021 Minutes.pdf,11,False,Review item 73: weak or fallback extraction.
01142025 PZDB Minutes.pdf,12,False,Review item 75: weak or fallback extraction.
01142025 PZDB Minutes.pdf,12,False,Review item 77: weak or fallback extraction.
01142026 PZDB Minutes.pdf,13,False,Review item 78: weak or fallback extraction.
01142026 PZDB Minutes.pdf,13,False,Review item 79: weak or fallback extraction.
01142026 PZDB Minutes.pdf,13,False,Review item 80: weak or fallback extraction.
01142026 PZDB Minutes.pdf,13,False,Review item 81: weak or fallback extraction.
01142026 PZDB Minutes.pdf,13,False,Review item 82: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 83: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 84: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 85: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 86: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 87: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 88: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 89: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 90: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 91: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 92: weak or fallback extraction.
011817 Council Meeting Approved Minutes.pdf,14,False,Review item 93: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 94: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 95: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 96: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 97: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 99: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 100: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 101: weak or fallback extraction.
01192022 minutes.pdf,15,False,Review item 102: weak or fallback extraction.
01202016 minutes.pdf,16,False,Review item 103: weak or fallback extraction.
01202016 minutes.pdf,16,False,Review item 104: weak or fallback extraction.
01202016 minutes.pdf,16,False,Review item 105: weak or fallback extraction.
01202016 minutes.pdf,16,False,Review item 106: weak or fallback extraction.
